,Address,Category,website,Latitude,Longitude,Within_Chicago
7,"3124 N Central Ave, Chicago, IL 60634, United States","Night club,Bar",,41.9374504,-87.76687779999999,True
8,"151 W Kinzie St, Chicago, IL 60654, United States","Night club,Bar,Cocktail bar,Lounge",tunnelchicago.com,41.8890402,-87.6330723,True
9,"3124 N Central Ave, Chicago, IL 60641, United States","Night club,Bar",,41.9374598,-87.76686819999999,True
10,"5 W Division St, Chicago, IL 60610, United States","Night club,Bar",primarynightclub.com,41.9037076,-87.6289997,True
11,"353 North Clark, 65 W Kinzie St, Chicago, IL 60654, United States",Night club,bodegaimports.com,41.8889898,-87.63075289999999,True
12,"9 W Division St, Chicago, IL 60610, United States","Night club,Bar,Dance hall",,41.903809,-87.629082,True
13,"416 S Clark St, Chicago, IL 60605, United States",Night club,erasocialclub.com,41.8764042,-87.63108749999999,True
14,"157 W Ontario St, Chicago, IL 60654, United States","Lounge,Night club",lorechicago.com,41.8929546,-87.63342829999999,True
15,"3641 N Halsted St, Chicago, IL 60613, United States",Night club,m.facebook.com,41.9485937,-87.6493563,True
16,"Smartbar, 3730 N Clark St, Chicago, IL 60613, United States","Night club,Bar",smartbarchicago.com,41.9497713,-87.6587675,True
17,"3458 N Halsted St, Chicago, IL 60657, United States","Gay night club,Bar",hydratechicago.com,41.9453784,-87.6495995,True
18,"157 W Ontario St Second Floor, Chicago, IL 60654, United States",Night club,lorechicago.com,41.8929015,-87.6334028,True
19,"1431 W Lake St, Chicago, IL 60607, United States",Night club,,41.8852747,-87.66365929999999,True
0,"678 N Orleans St, Chicago, IL 60654, United States","Bar,American restaurant,Restaurant,Hamburger restaurant,Lounge,Pub,Sandwich shop,Sports bar",greendoorchicago.com,41.8946282,-87.6374062,True
1,"491 N Milwaukee Ave, Chicago, IL 60654, United States",Bar,richardsbarbrands.com,41.8909676,-87.6469631,True
2,"2771 N Lincoln Ave, Chicago, IL 60614, United States",Bar,delilahschicago.com,41.9322652,-87.65806119999999,True
3,"412 N State St, Chicago, IL 60654, United States",Bar,rossischicago.com,41.8897304,-87.6281508,True
4,"1612 W Irving Park Rd Ste 1, Chicago, IL 60613, United States","Bar,Coffee shop,Restaurant",longroomchicago.com,41.9544231,-87.6696958,True
5,"3281 W Armitage Ave, Chicago, IL 60647, United States","Bar,Restaurant",bestintentionschicago.com,41.9171619,-87.7101417,True
6,"622 N Fairbanks Ct, Chicago, IL 60611, United States","Sports bar,American restaurant,Pub",timothyotooles.com,41.8932521,-87.6204905,True
7,"50 E Chicago Ave, Chicago, IL 60611, United States",Bar,streeterstavern.com,41.896891,-87.62625,True
8,"9 W Hubbard St, Chicago, IL 60654, United States","Bar,Bar & grill,Night club,Restaurant,Sports bar",theorychicago.com,41.8899304,-87.6285525,True
9,"205 W Lake St, Chicago, IL 60606, United States",Pub,monkspubchicago.com,41.8855838,-87.6342756,True
10,"15 W Division St, Chicago, IL 60610, United States","Bar,Sports bar,Taco restaurant",hopsmithchicago.com,41.903808,-87.629334,True
11,"3201 W Armitage Ave, Chicago, IL 60647, United States","Bar,American restaurant,Cocktail bar",scofflawchicago.com,41.9172977,-87.7072039,True
12,"216 N Wabash Ave, Chicago, IL 60601, United States","Bar & grill,American restaurant,Irish pub,Restaurant",emeraldloop.com,41.8863702,-87.6265311,True
13,"210 W Kinzie St, Chicago, IL 60654, United States","Bar,Bar & grill,Irish pub,Pool hall,Pub,Restaurant",shamrockclubchicago.com,41.8892707,-87.6345443,True
14,"12 S Michigan Ave, Chicago, IL 60603, United States","Bar,Restaurant",cindysrooftop.com,41.881662,-87.6249684,True
15,"701 S Dearborn St, Chicago, IL 60605, United States","Pub,Bar",kaseystavern.com,41.8733028,-87.62899089999999,True
16,"134 S Wabash Ave, Chicago, IL 60603, United States","Irish pub,American restaurant,Pub",millerspub.com,41.8798217,-87.62634829999999,True
17,"1424 W Chicago Ave, Chicago, IL 60642, United States","Bar,Bar & grill,Chicken wings restaurant,Cocktail bar,Meal delivery,Takeout restaurant,Pizza delivery,Pizza takeaway,Restaurant",thefivestarbar.com,41.896379,-87.6634469,True
18,"47 W Polk St, Chicago, IL 60605, United States","Bar & grill,American restaurant,Bar,Cocktail bar,Gastropub,Lounge,New American restaurant,Pub,Sports bar",barlouie.com,41.8720742,-87.62890469999999,True
19,"806 W Randolph St, Chicago, IL 60607, United States","Bar,Cocktail bar,Pub",lonewolftavern.com,41.8846161,-87.6478096,True
